,Churn,tenure,Contract,Monthly,InternetService,SeniorCitizen,Partner,Dependents,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,PaymentMethod,Total,Cuentas_Diarias
0,0,9,One year,65.6,DSL,0,1,1,No,Yes,No,Yes,Mailed check,593.3,2.19
1,0,9,Month-to-month,59.9,DSL,0,0,0,No,No,No,No,Mailed check,542.4,2.0
2,1,4,Month-to-month,73.9,Fiber optic,0,0,0,No,No,Yes,No,Electronic check,280.85,2.46
3,1,13,Month-to-month,98.0,Fiber optic,1,1,0,No,Yes,Yes,No,Electronic check,1237.85,3.27
4,1,3,Month-to-month,83.9,Fiber optic,1,1,0,No,No,No,Yes,Mailed check,267.4,2.8
5,0,9,Month-to-month,69.4,DSL,0,0,1,No,No,No,Yes,Credit card (automatic),571.45,2.31
6,0,71,Two year,109.7,Fiber optic,1,1,0,Yes,Yes,Yes,Yes,Bank transfer (automatic),7904.25,3.66
7,0,63,Two year,84.65,Fiber optic,0,1,0,Yes,No,No,Yes,Credit card (automatic),5377.8,2.82
8,0,7,Month-to-month,48.2,DSL,1,0,0,Yes,No,No,No,Electronic check,340.35,1.61
9,0,65,Two year,90.45,DSL,0,1,1,Yes,Yes,Yes,Yes,Mailed check,5957.9,3.02
10,0,54,Two year,45.2,DSL,0,0,0,Yes,No,No,Yes,Credit card (automatic),2460.55,1.51
11,0,72,Two year,116.8,Fiber optic,0,1,1,Yes,Yes,Yes,Yes,Credit card (automatic),8456.75,3.89
12,0,5,Month-to-month,68.95,Fiber optic,0,1,0,No,No,No,No,Electronic check,351.5,2.3
13,0,72,Two year,101.3,Fiber optic,0,0,0,Yes,Yes,Yes,No,Bank transfer (automatic),7261.25,3.38
14,0,56,Two year,45.05,DSL,0,0,0,Yes,Yes,Yes,Yes,Bank transfer (automatic),2560.1,1.5
15,0,71,Two year,95.75,Fiber optic,0,1,1,No,Yes,Yes,No,Credit card (automatic),6849.4,3.19
16,0,34,One year,61.25,DSL,0,1,1,Yes,No,Yes,Yes,Mailed check,1993.2,2.04
17,0,1,Month-to-month,72.1,Fiber optic,1,0,0,No,No,No,No,Electronic check,72.1,2.4
18,1,45,One year,62.7,DSL,1,0,0,Yes,No,Yes,No,Credit card (automatic),2791.5,2.09
19,1,1,Month-to-month,25.1,DSL,1,0,0,No,No,No,No,Electronic check,25.1,0.84
20,0,50,One year,25.2,No,1,1,0,No internet service,No internet service,No internet service,No internet service,Electronic check,1306.3,0.84
21,1,13,Month-to-month,94.1,Fiber optic,0,1,0,No,Yes,Yes,No,Electronic check,1215.6,3.14
22,0,23,Month-to-month,83.75,Fiber optic,0,1,1,No,No,No,No,Electronic check,1849.95,2.79
23,0,3,Month-to-month,19.85,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Mailed check,57.2,0.66
24,1,4,Month-to-month,20.35,No,0,1,1,No internet service,No internet service,No internet service,No internet service,Mailed check,76.35,0.68
25,1,1,Month-to-month,30.5,DSL,0,1,1,Yes,No,No,No,Bank transfer (automatic),30.5,1.02
26,0,55,One year,103.7,Fiber optic,0,1,1,No,Yes,Yes,Yes,Bank transfer (automatic),5656.75,3.46
27,0,54,Two year,20.4,No,0,1,1,No internet service,No internet service,No internet service,No internet service,Credit card (automatic),1090.6,0.68
28,0,26,One year,19.6,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),471.85,0.65
29,0,69,Two year,19.7,No,0,1,1,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),1396.9,0.66
31,0,37,One year,91.2,Fiber optic,0,1,1,No,No,No,No,Credit card (automatic),3247.55,3.04
32,0,49,One year,20.45,No,0,1,0,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),900.9,0.68
33,0,66,One year,115.8,Fiber optic,0,1,0,Yes,Yes,Yes,Yes,Bank transfer (automatic),7942.15,3.86
34,0,67,One year,20.55,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Electronic check,1343.4,0.68
35,0,20,Two year,39.4,DSL,0,1,1,Yes,No,Yes,Yes,Credit card (automatic),825.4,1.31
36,0,43,Two year,25.1,No,0,0,1,No internet service,No internet service,No internet service,No internet service,Electronic check,1070.15,0.84
37,0,55,Month-to-month,89.8,Fiber optic,0,1,0,Yes,No,No,No,Bank transfer (automatic),4959.6,2.99
38,0,59,Month-to-month,94.75,Fiber optic,0,1,0,Yes,Yes,No,No,Electronic check,5597.65,3.16
39,0,12,Two year,20.3,No,0,1,1,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),224.5,0.68
40,0,27,Month-to-month,75.75,Fiber optic,0,1,1,No,No,No,No,Bank transfer (automatic),1929.0,2.52
41,1,2,Month-to-month,49.25,DSL,1,0,0,Yes,No,No,No,Electronic check,91.1,1.64
42,0,27,One year,78.2,DSL,0,0,0,No,Yes,Yes,Yes,Mailed check,2078.95,2.61
43,0,25,Two year,25.5,No,0,1,1,No internet service,No internet service,No internet service,No internet service,Credit card (automatic),630.6,0.85
44,0,25,One year,61.6,DSL,0,1,1,Yes,Yes,Yes,No,Bank transfer (automatic),1611.0,2.05
45,0,29,Month-to-month,45.0,DSL,0,0,1,Yes,Yes,Yes,Yes,Mailed check,1242.45,1.5
46,0,72,Two year,85.15,DSL,0,1,0,No,Yes,Yes,Yes,Bank transfer (automatic),6316.2,2.84
47,0,14,One year,51.45,DSL,0,0,0,No,Yes,No,No,Credit card (automatic),727.85,1.72
48,0,35,One year,99.25,Fiber optic,0,0,0,No,No,Yes,Yes,Electronic check,3532.0,3.31
49,0,1,Month-to-month,44.3,DSL,0,0,0,No,No,No,No,Mailed check,44.3,1.48
50,0,29,Month-to-month,94.2,Fiber optic,0,0,0,No,No,No,Yes,Electronic check,2607.6,3.14
51,0,64,One year,81.25,DSL,0,0,0,Yes,Yes,Yes,Yes,Electronic check,5567.55,2.71
52,0,39,Month-to-month,99.95,Fiber optic,0,1,1,No,No,No,Yes,Credit card (automatic),3767.4,3.33
53,0,40,Month-to-month,91.55,Fiber optic,1,0,0,No,No,No,No,Electronic check,3673.6,3.05
54,1,40,Month-to-month,104.5,Fiber optic,0,0,0,No,Yes,Yes,No,Credit card (automatic),4036.85,3.48
55,1,11,Month-to-month,95.0,Fiber optic,1,0,0,No,Yes,No,No,Electronic check,1120.3,3.17
56,0,6,Month-to-month,50.35,DSL,0,1,0,No,No,No,No,Electronic check,314.55,1.68
57,0,30,Month-to-month,64.5,DSL,0,0,0,Yes,No,No,No,Mailed check,1888.45,2.15
58,0,27,Month-to-month,19.4,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Electronic check,529.8,0.65
59,0,70,One year,104.8,Fiber optic,1,1,0,No,Yes,Yes,No,Electronic check,7308.95,3.49
60,0,57,One year,109.4,Fiber optic,0,1,0,No,Yes,Yes,Yes,Bank transfer (automatic),6252.7,3.65
61,0,58,One year,50.3,DSL,0,1,0,No,No,Yes,No,Credit card (automatic),2878.55,1.68
62,0,16,Month-to-month,71.4,DSL,0,0,0,No,Yes,Yes,No,Bank transfer (automatic),1212.1,2.38
63,0,69,Two year,116.0,Fiber optic,0,1,0,Yes,Yes,Yes,Yes,Electronic check,8182.85,3.87
64,1,1,Month-to-month,19.85,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Electronic check,19.85,0.66
65,1,1,Month-to-month,99.75,Fiber optic,0,0,1,No,No,Yes,No,Electronic check,99.75,3.32
66,0,32,Month-to-month,93.95,Fiber optic,1,1,1,No,Yes,No,No,Mailed check,2861.45,3.13
67,0,16,Month-to-month,90.8,Fiber optic,0,1,1,No,No,Yes,No,Bank transfer (automatic),1442.2,3.03
68,1,49,One year,84.35,DSL,0,1,0,Yes,No,Yes,Yes,Electronic check,4059.35,2.81
69,0,71,Two year,58.25,DSL,0,1,0,No,Yes,Yes,Yes,Bank transfer (automatic),4145.9,1.94
70,0,33,Month-to-month,107.55,Fiber optic,0,0,0,No,Yes,Yes,No,Electronic check,3645.5,3.58
71,0,10,Month-to-month,19.95,No,0,1,0,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),187.75,0.66
72,1,21,Month-to-month,111.2,Fiber optic,0,1,0,No,Yes,Yes,Yes,Electronic check,2317.1,3.71
73,1,37,Month-to-month,40.2,DSL,0,1,1,Yes,Yes,Yes,No,Bank transfer (automatic),1448.8,1.34
74,0,26,Month-to-month,85.8,Fiber optic,1,0,0,Yes,No,No,No,Credit card (automatic),2193.65,2.86
76,0,50,One year,35.4,DSL,0,0,0,Yes,No,No,Yes,Mailed check,1748.9,1.18
77,1,7,Month-to-month,73.85,Fiber optic,0,0,0,No,No,No,No,Electronic check,511.25,2.46
78,0,61,Two year,88.1,DSL,0,1,1,Yes,Yes,Yes,Yes,Mailed check,5526.75,2.94
79,1,15,Month-to-month,101.35,Fiber optic,0,0,0,No,No,Yes,Yes,Electronic check,1553.95,3.38
